text	label
김하늘의 능청스러운 연기는 몇 년전이지만 이미 꽃을 피웠고 강동원은 신인급의 풋풋함이 좋았다. 아직 이 사람보고 연기를 잘하네 뭐 이런 말 하기는 팬이라도 낯간지럽지만 최근 영화를 쭉 보면 계속 발전하고 있다는 걸 느낄 수 있다. 특히 배역을 잘 고르는 똑똑한 배우다. 영화 마지막에 강동원이 김하늘에게 사귀자고 하는 씬도 참신했어. 이렇게 살짝 뒤통수를 쳐줘야 흥미를 끄는 법이거든. 마지막까지 훈훈한 로맨틱 코미디의 정석 같은 영화였다. 참, 여기 남상미도 나온다. 많이 안 어울리는 역할로.. 흐흐..	['O', 'MOV-B', 'MOV-I', 'MOV-I', 'MOV-I', 'MOV-I', 'MOV-I', 'MOV-I', 'O', 'MOV-B', 'MOV-I', 'MOV-B', 'O', 'O', 'O', 'MOV-B', 'MOV-I', 'MOV-I', 'MOV-I', 'MOV-I', 'MOV-I', 'MOV-I', 'MOV-I', 'O', 'O', 'O', 'O', 'MOV-B', 'MOV-I', 'MOV-I', 'MOV-I', 'MOV-I', 'MOV-I', 'MOV-I', 'O', 'MOV-B', 'MOV-I', 'MOV-I', 'MOV-B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'MOV-B', 'MOV-I', 'O', 'MOV-B', 'MOV-I', 'MOV-I', 'MOV-B', 'MOV-I', 'MOV-I', 'O', 'MOV-B', 'MOV-B', 'MOV-I', 'MOV-I', 'MOV-I', 'O', 'O', 'O', 'O', 'O', 'MOV-B', 'MOV-I', 'MOV-I', 'MOV-I', 'MOV-I']
5종 세트 사용하니 다음날 피부에 탱글탱글~	['O', 'O', 'O', 'O', 'PDT-B', 'PDT-I']
엠보원단에 카렌둘라 꽃잎과꽃수가 무려 75%	['O', 'O', 'O', 'O', 'O']
모공조절이나 피지조절 되는 거 많이 쓰는데..	['O', 'O', 'O', 'O', 'O', 'O']
당시엔 야간에만 개장했는데 7월 28일부터 주간에도 개장하며 특히 대형물놀이장도 같이 개장해 바캉스 특수를 누리고 있군요.	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'TRV-B', 'TRV-I', 'TRV-I', 'TRV-I']
이 블로그의 대표 컨텐츠 중 하나가 1980년대 고전게임이다보니 이번 역시 `주먹왕 랄프(Wreck-It Ralph)` 때와 마찬가지로 영화에 등장하는 게임들을 정리해봤다.	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
희노애락을 잃은 인형들은 과연 인간이라고 할 수 있을런지. 이전 기억이 남아있다해도	['MOV-B', 'MOV-I', 'MOV-I', 'MOV-I', 'MOV-I', 'MOV-I', 'MOV-I', 'MOV-I', 'O', 'O', 'O']
처음엔 좀 불편하게 느껴지는데	['O', 'PDT-B', 'PDT-I', 'PDT-I']
개비개비는 절망에 빠지지만 우디의 독려로 골동품 가게를 빠져나오고, 그 과정에서 자신을 필요로 하는 아이를 찾아낸다. 우디 역시 모든 모험을 마쳤지만 자신을 좋아하지 않는 보니 곁으로 돌아가는 것은 그만두기로 결심한다. 보핍과 함께 새로운 삶을 선택한 것이다.	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
캡사이신과 카페인이 뱃살줄여준다니 ㅋㅋ	['O', 'O', 'O', 'O']
같은 사건을 배경으로 한 <패트리어트 데이>와는 사뭇 다른 느낌이다. 굳이 내 취향을 꼽자면 저쪽!! 이 영화 속 남자의 가족들 행동이 너무×100 맘에 들지 않아 영화 자체에도 마음이 가지 않았다 .	['O', 'O', 'O', 'O', 'MOV-B', 'MOV-I', 'MOV-I', 'MOV-I', 'MOV-I', 'MOV-B', 'MOV-I', 'MOV-I', 'MOV-I', 'MOV-I', 'O', 'O', 'O', 'MOV-B', 'MOV-I', 'MOV-I', 'MOV-I', 'MOV-I', 'MOV-I', 'MOV-I', 'O', 'O', 'MOV-B', 'MOV-I', 'MOV-I', 'MOV-I']
자연유해 성분만 넣어	['O', 'O', 'O']
유아인의 심복으로 나오는 유해진	['O', 'O', 'O', 'O']
프랑스 !!	['O', 'O']
즐거움을 준다. 물론 악역다운 이미지의 이병헌도 괜찮았다.	['MOV-B', 'MOV-I', 'O', 'MOV-B', 'MOV-I', 'O', 'MOV-B']
자기에게 공부 빼면 남는게 없다고 말하지만 모든 남자애들이 좋아했던 건 공부 때문이 아니지.	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
브링그린 #시트마스크 니가 제대로 보여주는구나!	['O', 'O', 'PDT-B', 'PDT-I', 'PDT-I']
작년 겟잇뷰티 1위한 제품인데	['O', 'O', 'O', 'O']
자극없이 바디필링이 가능해요.	['PDT-B', 'PDT-I', 'PDT-I']
깔끔하고 예쁜 디자인에 한 번 반하고	['PDT-B', 'PDT-B', 'O', 'PDT-B', 'PDT-I', 'PDT-I']
광주의 진실을 전 세계에 알린 위르겐 힌츠페터의 영상은 옛날에 KBS의 다큐멘터리를 통해 접한 적 있었다.	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
촉촉하고 풍성한 미세 버블로	['PDT-B', 'PDT-B', 'PDT-I', 'PDT-I']
시카로즈 젤리 에센스 35ml가 들어있어	['O', 'O', 'O', 'O', 'O']
메인이 되는 곡. ABBA의 `ABBA`음반의 수록곡이었다.	['O', 'O', 'O', 'O', 'O', 'O']
팔 다리에 필요한 부위에 골고루 뿌려주면..	['O', 'O', 'O', 'O', 'O', 'O']
#박한별 말괄량이길들이기 프로그램에서	['O', 'O', 'O']
이건 내 입술에도 뭉침없이 발려서 좋으당	['O', 'O', 'O', 'PDT-B', 'PDT-I', 'PDT-B']
저예산에 역사 속 인물을 다루고 있다보니 영화적으로 봤을 땐 분명 투박하다고 밖에 말할 수 없을 것 같다. 그럼에도 불구하고 만들어져서 참 다행이다 싶은 생각이 드는 영화 <항거: 유관순 이야기>이다. 고아성 배우의 말처럼 늦어도 너무 늦은 거 아니냔 말이지!! .	['MOV-B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'MOV-B', 'MOV-I', 'MOV-I', 'MOV-I', 'MOV-I', 'MOV-I', 'MOV-I', 'MOV-I', 'O', 'O', 'MOV-B', 'MOV-I', 'MOV-I', 'MOV-I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
운학루에 국보 제300호인 미륵불괘불탱이 있는데 문이 굳게 닫혀있어서...	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
세계적인 디자이너 정구호의 제품인데..	['O', 'O', 'O', 'O']
기산을 공격했던 이야기를 모델로 한 듯. 이 전투에서	['O', 'O', 'O', 'MOV-B', 'MOV-I', 'MOV-I', 'O', 'O']
바다 수영은 처음이라	['O', 'O', 'O']
주연배우도 니콜 키드만이 콜트부인, 6대 제임스본드인	['O', 'O', 'O', 'O', 'O', 'O']
페르디난드 (2018.1.3 개봉)	['O', 'O', 'O']
이제는 360도 회전으로 골고루 맛있게 먹어요 >_<	['O', 'O', 'O', 'PDT-B', 'PDT-I', 'PDT-I', 'PDT-I']
교도소에서 강제노역을 하던 람보는 미국포로를	['O', 'O', 'O', 'O', 'O']
한살 더 먹는다고	['O', 'O', 'O']
그립감도 좋고 한손으로 밀기도 넘나 좋아요	['PDT-B', 'PDT-I', 'PDT-B', 'PDT-I', 'PDT-I', 'PDT-I']
생활방수까지 가능하다니 #데일리백 으로도 좋지만 휴가지에서 #수영가방 으로 사용해도 되겠쟈나..	['PDT-B', 'PDT-I', 'PDT-B', 'PDT-I', 'PDT-I', 'O', 'PDT-B', 'PDT-I', 'PDT-I', 'PDT-I']
촉촉해서 당김도 확실히 좋아진 것 같아서 완전 반한 제품이에요~	['PDT-B', 'PDT-B', 'PDT-I', 'PDT-I', 'PDT-I', 'PDT-I', 'PDT-B', 'PDT-I', 'O']
비싸다는 동충하초랑 녹용까지 들어있는 착한 마스크팩~~ ㅎㅎ	['O', 'O', 'O', 'O', 'PDT-B', 'O', 'O']
넘나 맘에 든다 ㅋㅋ	['PDT-B', 'PDT-I', 'PDT-I', 'PDT-I']
1. 야경 사진찍을때 유리창이 있어서 빛이 비칠 수 있다. 사진 찍을 용도라면 탑오브더락이 나은듯.	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'TRV-B', 'TRV-I', 'TRV-I', 'TRV-I', 'TRV-I']
다음은 줄질이다. 밴드도 올리브그린과 블랙이 있었는데 알도 까만데 줄까지 까만 건 싫고 국방색은 너무 군인스럽나 싶지만 사실 아무래도 상관없다. 왜냐면 잘라버릴 테니까!!! 으하하.. 오자마자 줄질을 하게 될 지 어떨지 몰라도 너에게는 어울리는 줄이 따로 있지 싶어. 아무리 나라도 카키색 줄을 계속 찰 수는 없잖아. 근데 이거 좀 에러인게 줄을 바꾸려면 잘라버려야 한다. 아무리 저렴이 버전이라지만 뭐 이따위 구색이 다 있어? - -	['O', 'O', 'O', 'O', 'O', 'O', 'PDT-B', 'PDT-I', 'PDT-I', 'PDT-I', 'PDT-I', 'PDT-I', 'PDT-B', 'PDT-I', 'PDT-I', 'PDT-I', 'PDT-B', 'PDT-I', 'PDT-I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PDT-B', 'PDT-I', 'PDT-I', 'PDT-I', 'PDT-I', 'PDT-I', 'PDT-I', 'O', 'O', 'O', 'PDT-B', 'PDT-I', 'PDT-I', 'PDT-I', 'PDT-I', 'PDT-I', 'PDT-I']
사이즈도 넉넉해서 아이와 어른이 함께 들어갈수 있어요	['PDT-B', 'PDT-I', 'PDT-B', 'PDT-I', 'PDT-I', 'PDT-I', 'PDT-I']
뭔가 산뜻한 기분이 들더라구요~	['TRV-B', 'TRV-I', 'TRV-I', 'TRV-I']
결정돈이 되고 나니 피부도 쫀쫀해진 것 같고,	['O', 'O', 'O', 'PDT-B', 'PDT-I', 'PDT-I', 'PDT-I']
그래도 6월 9일까지는 황룡강 꽃길 나들이객맞이 축제가 열린다고 한다.	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
특히나 발은 세균침입이 더 쉬워져서	['O', 'O', 'O', 'O', 'O']
#플레이팅 할 수 있는 #대리석접시	['O', 'O', 'O', 'O', 'O']
메종드베베로 급 보습중!!	['O', 'O', 'O']
라미엘과의 사투만큼은 그야말로 이번 극장판의 백미. 전부 신작화.	['MOV-B', 'MOV-I', 'MOV-I', 'MOV-I', 'MOV-I', 'MOV-I', 'O', 'O']
스위치로 복싱 가뿐히 이겨주고	['O', 'O', 'O', 'O']
VBE프로파게르마늄의 #자가발열 효과로	['O', 'O', 'O']
8. 센티피드 (Centipede, 1981, ATARI)아타리에서 1981년에 아케이드용으로 발매한 게임으로, 역시 아케이드 게임 황금기의 작품. 화면 상단에서부터 버섯 사이를 왔다갔다 하면서 내려오는 초록색의 거대지네를 쏴서 없애는 것이 목적인 게임이다. 문제는 머리를 맞춰야지 다른 부분을 맞추면 분열하며, 지네 외에도 화면 내를 돌아다니는 거미 역시 신경써서 없애버리지 않으면 안된다.	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
그러다 저절로 멈춘 곳.	['O', 'O', 'O', 'O']
많고 많은 선크림 제품들 중 이거 단연 베스트인듯 ㅋㅋ	['O', 'O', 'O', 'O', 'O', 'PDT-B', 'PDT-I', 'PDT-I', 'PDT-I']
#도노도노멀티범퍼침대 로 아이놀이방 완성! #폴더매트 로 변형해서 사용했어요~	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
5월 한정으로 선보인 블루 기프트박스로.	['O', 'O', 'O', 'O', 'O']
<뷰티 인사이드>후기, 믿지 못할 상황들… 그럼에도 불구하고	['O', 'O', 'O', 'O', 'O', 'O', 'O']
계단을 타고 올라가야 합니다 ㅋㅋㅋ	['O', 'O', 'O', 'O', 'O']
더해피후르츠워터 클렌저 400ml	['O', 'O', 'O']
(1996년 7월 8일 모 동호회에 올렸던 글을 재편집)	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
오늘도 #라울루 로 치카 하세요	['PDT-B', 'PDT-I', 'PDT-I', 'PDT-I', 'PDT-I']
가끔씩 생기는 피부불청객 트러블..	['O', 'O', 'O', 'O']
보습감도 상당히 좋은데 끈적이지않구	['PDT-B', 'PDT-I', 'PDT-I', 'PDT-B']
그리고 여러가지 작업하기에도 넘나 좋아라~	['O', 'O', 'O', 'PDT-B', 'PDT-I']
#속보습 까지 채워져서 촉촉함이 오래가요.	['PDT-B', 'PDT-I', 'PDT-I', 'PDT-B', 'PDT-I']
아기피부 되는거 같아서ㅋㅋ	['PDT-B', 'PDT-I', 'PDT-I']
한번 사용해 보면 그 매력에 푹 빠져 버리실거에요	['O', 'O', 'O', 'PDT-B', 'PDT-I', 'PDT-I', 'PDT-I', 'PDT-I']
달리는 자막 폰트... 영화와 안어울리는 이 어색한 연출들은	['O', 'O', 'O', 'MOV-B', 'MOV-I', 'MOV-B', 'MOV-I', 'MOV-I']
영화를 보고 나니 오히려 소설이 읽고 싶어졌다. 지금까지는 영화를 보고나면 소설은 전혀 손도 대고 싶지 않았는데 영화를 보니 소설 쪽이 훨씬 아름다울 거 같다. 그놈의 벗는 씬은 좀 뺐으면 정말 좋았을 텐데.. 쯧	['O', 'O', 'O', 'MOV-B', 'MOV-I', 'MOV-I', 'MOV-I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'MOV-B', 'MOV-I', 'MOV-I', 'MOV-I', 'MOV-I', 'MOV-I', 'O', 'MOV-B', 'MOV-I', 'MOV-I', 'MOV-I', 'MOV-I', 'MOV-I', 'MOV-I', 'MOV-I']
자주사용하는 #애정템	['O', 'PDT-B']
새롭게 만들어진 신작 `가루지기`.	['O', 'O', 'O', 'O']
칠갑산 소원바위 앞은 저마다 소원을 담은 소원지가 빼곡하게 걸려있다.	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
마치 심청이 태어난 마을을 두고 여러 지자체가 자기 마을이라고 하지만, 먼저 선점한 곡성군이 심청축제를 하는 것과 같다.	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
맛있는 갈비까지 ㅎㅎ	['O', 'O', 'O']
- 아이라인 지울 때는 양조절 잘해야함	['O', 'O', 'O', 'O', 'O', 'O']
맛만 보고 싶었는데 작게는 안팔아서 5유로 짜리삼	['O', 'O', 'O', 'O', 'O', 'O', 'O']
역시 눈에 쏙들어오는 이유가 있었네요.	['PDT-B', 'PDT-I', 'PDT-I', 'PDT-I', 'PDT-I']
열 오른 피부에 #쿨링팩 으로 최고야!	['O', 'O', 'O', 'PDT-B', 'PDT-I', 'PDT-I']
저는 아침저녁으로 발을 깨끗하게 씻고	['O', 'O', 'O', 'O', 'O']
유럽공동체 CE 인증 획득	['O', 'O', 'O', 'O']
반한 #킨도물티슈	['PDT-B', 'O']
(아.. 참고로 이건 원투원호텔 건너편 모습;;;)	['O', 'O', 'O', 'O', 'O', 'O']
울 아들 물놀이 갈 때마다 사용하던 #목욕가운 이 작아져서 하나 구입할 생각이었는데	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
언제 봐도 힐링이 되는 곳.	['TRV-B', 'TRV-I', 'TRV-I', 'TRV-I', 'O']
가게안이 너무예뻐서~	['TRV-B', 'TRV-I']
한글,한자 가능!	['O', 'O']
여기에 크림을 담아	['O', 'O', 'O']
김원준.신지.이윤미와 범호원장님의 모발관리팁과 정보들을	['O', 'O', 'O', 'O']
덤으로 좀비영화임에도 불구하고 잔인한 신체 절단 및 낭자한 피의 연출이 전혀 나오지 않는다. (물론 소재가 소재인 만큼 폭력성이 없는 것은 아니지만) 팔을 자르는데도 팔 잘리는 장면이 나오지 않고, 총을 쏴도 피 한방울 나오지 않으며, 좀비를 아무리 심하게 공격해도 쓰러질 뿐 어떠한 신체파괴는 나오지 않는다. 모든 죽음의 씬은 직접적으로 보여주지 않고 간접적으로 표현될 뿐이다. 좀비영화 중에서 이렇게 건전한 좀비영화도 드물 듯 싶다.	['O', 'O', 'O', 'MOV-B', 'MOV-I', 'MOV-I', 'MOV-I', 'MOV-I', 'MOV-I', 'MOV-I', 'MOV-I', 'MOV-I', 'MOV-I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'MOV-B', 'MOV-I', 'O', 'MOV-B', 'MOV-I', 'MOV-I']
상한머리 잔뜩 쳐낸 레이어드컷이라	['O', 'O', 'O', 'O']
데헷#웨딩네일 하구 고이고이 모셔놨던 반지 한번 차보기	['O', 'O', 'PDT-B', 'PDT-I', 'O', 'O', 'O']
이렇게 #비글미 터지는 둘째도 ..	['O', 'O', 'O', 'O', 'O']
꽤 귀에 익은 유명한 곡.	['MOV-B', 'MOV-I', 'MOV-I', 'MOV-B', 'MOV-I']
자기 전 듬뿍 발라 수면팩으로 사용하면	['O', 'O', 'O', 'O', 'O', 'O']
넓은 바베큐장도 넘 맘에 듭니다~	['TRV-B', 'TRV-I', 'TRV-B', 'TRV-I', 'TRV-I']
이야기를 다룬 오리지널 스토리. 그래서 `제로`다.	['O', 'O', 'O', 'O', 'O', 'O']
출국하는 비행기 탈땐 도어투도어서비스로	['O', 'O', 'O', 'O']
꼬달리 비노펙트 세럼인데요 :)	['O', 'O', 'O', 'O']
섞어서 사용할수 있음!	['O', 'O', 'O']
환절기, 빨개지는 엉덩이를 보호하라!	['O', 'O', 'O', 'O']
산뜻한 텍스처로 끈적임 없는 마무리!	['PDT-B', 'PDT-I', 'PDT-B', 'PDT-I', 'PDT-I']
저는 욕실에 두고 세안 후 바로 발라주고 있어욤!	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
20대부터 40대까지 뷰티에 관심있는	['O', 'O', 'O', 'O']
육사시미랑 소고기타다끼도	['O', 'O']
